Dk,DE,Ck,CE,Uk,UE
0.2928,-0.220287,0.524,-91.68175,0.2038,-1783.856307
,,0.5769,-91.580314,0.2041,-1783.856296
,,1.5715,-87.858492,0.6114,-1783.82676
,,1.7317,-86.936792,0.6125,-1783.82664
,,2.6174,-80.227479,1.019,-1783.767666
,,2.8889,-77.623595,1.0209,-1783.767321
,,3.6602,-68.825331,1.4266,-1783.679025
,,4.0511,-63.575017,1.4293,-1783.67834
,,4.6975,-53.725115,1.8343,-1783.560805
,,5.2231,-44.643035,1.8376,-1783.559728
,,5.7247,-35.078224,2.2419,-1783.413063
,,6.4195,-20.381493,2.246,-1783.411427
,,6.7271,-13.33794,2.6495,-1783.235775
,,,,2.6544,-1783.233464
,,,,3.0571,-1783.028939
,,,,3.0628,-1783.025837
,,,,3.4648,-1782.792495
,,,,3.4711,-1782.78861
,,,,3.8724,-1782.526559
,,,,3.8795,-1782.521664
,,,,4.28,-1782.231075
,,,,4.2879,-1782.225056
,,,,4.6876,-1781.906045
,,,,4.6962,-1781.898869
,,,,5.0953,-1781.551377
,,,,5.1046,-1781.542942
,,,,5.5029,-1781.167245
,,,,5.513,-1781.157352
,,,,5.9105,-1780.753567
,,,,5.9214,-1780.742099
,,,,6.3181,-1780.310342
,,,,6.3297,-1780.297296
,,,,6.7258,-1779.83745
,,,,6.7381,-1779.822724
,,,,7.1334,-1779.335124
,,,,7.1465,-1779.318489
,,,,7.541,-1778.803251
,,,,7.5549,-1778.784592
,,,,7.9486,-1778.241831
,,,,7.9632,-1778.221173
,,,,8.3563,-1777.650715
,,,,8.3716,-1777.627957
,,,,8.7639,-1777.030194
,,,,8.78,-1777.005077
,,,,9.1715,-1776.380126
,,,,9.1884,-1776.352535
,,,,9.5791,-1775.700511
,,,,9.5967,-1775.6705
,,,,9.9868,-1774.991172
,,,,10.0051,-1774.958639
,,,,10.3944,-1774.252456
,,,,10.4135,-1774.217115
,,,,10.802,-1773.484193
,,,,10.8219,-1773.445928
,,,,11.2096,-1772.686384
,,,,11.2302,-1772.645278
,,,,11.6173,-1771.85882
,,,,11.6386,-1771.814772
,,,,12.0249,-1771.00191
,,,,12.047,-1770.954604
,,,,12.4325,-1770.115452
,,,,12.4554,-1770.064772
,,,,12.8401,-1769.199447
,,,,12.8637,-1769.145506
,,,,13.2478,-1768.25366
,,,,13.2721,-1768.196355
,,,,13.6554,-1767.278555
,,,,13.6805,-1767.217542
,,,,14.063,-1766.273902
,,,,14.0889,-1766.209066
,,,,14.4706,-1765.239703
,,,,14.4972,-1765.171184
,,,,14.8782,-1764.175957
,,,,14.9056,-1764.103389
,,,,15.2859,-1763.082392
,,,,15.314,-1763.005931
,,,,15.6935,-1761.959544
,,,,15.7224,-1761.878809
,,,,16.1011,-1760.80715
,,,,16.1307,-1760.722312
,,,,16.5087,-1759.625209
,,,,16.5391,-1759.535872
,,,,16.9164,-1758.41342
,,,,16.9475,-1758.319769
,,,,17.324,-1757.172378
,,,,17.3559,-1757.074004
,,,,17.7316,-1755.901789
,,,,17.7642,-1755.798891
,,,,18.1392,-1754.601653
,,,,18.1726,-1754.493806
,,,,18.5469,-1753.27164
,,,,18.581,-1753.159058
,,,,18.9545,-1751.912403
,,,,18.9894,-1751.794648
,,,,19.3621,-1750.523619
,,,,19.3977,-1750.400919
,,,,19.7697,-1749.105289
,,,,19.8061,-1748.97719
,,,,20.1773,-1747.657411
,,,,20.2145,-1747.523798
,,,,20.585,-1746.17962
,,,,20.6229,-1746.040742
